AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,Lexi,CHIHUAHUA ,CHIHUA,Cream     ,Y,F,4,SIPPY DOWNS
Cat       ,Mischa,DOMSH     ,DOMSH ,BlackWhite,Y,F,4,SIPPY DOWNS
D         ,Sarjent,STAFFRDBT ,STAFFR,BlackBrown,Y,M,3,NAMBOUR
Cat       ,O.J,TABBY     ,TABBY ,OrangeWhit,Y,M,7,MOUNTAIN CREEK
D         ,Romeo,MALTESEX  ,MALTES,Grey      ,Y,M,9,CALOUNDRA WEST
D         ,Cruz,LABRADOR  ,LABRAD,Black     ,Y,M,5,PEREGIAN SPRINGS
D         ,Dakota,KELPIEAUSX,KELPIE,Black     ,Y,F,10,SIPPY DOWNS
D         ,Mia,GREYHOUND ,GREYHO,Black     ,Y,F,6,COOLUM BEACH
D         ,Indi,GREYHOUND ,GREYHO,Black     ,Y,F,6,COOLUM BEACH
D         ,Bonnie,STAFFRDBTX,STAFFR,RedTan    ,N,F,5,COOLUM BEACH
D         ,Simba,LABRADOODL,LABRAD,Cream     ,Y,M,3,DOONAN
D         ,Gypsy,RIDGEBACKX,RIDGEB,Beige     ,Y,F,7,WARANA
D         ,Riley,TERRIERWTX,TERRIE,White     ,Y,M,8,LITTLE MOUNTAIN
D         ,Dexter,LABRADOR  ,LABRAD,Blonde    ,Y,M,9,BUDERIM
D         ,Georgie,JACKRUSSL ,JACKRU,WhiteBlack,Y,M,9,BUDERIM
D         ,Tao,FOXTERRIEX,FOXTER,BlackWhite,Y,M,3,LITTLE MOUNTAIN
D         ,Sage,STAFFRDAM ,STAFFR,Brindle   ,Y,F,6,KUREELPA
D         ,Victoria,SHIHTZUX  ,SHIHTZ,BlackWhite,N,F,3,LITTLE MOUNTAIN
D         ,Biscuit,MALTESE   ,MALTES,Sable     ,Y,M,5,BUDERIM
D         ,Lillian,LABRADOODL,LABRAD,Red       ,Y,F,4,CALOUNDRA WEST
D         ,Pumba,BULLMASTF ,BULLMA,Tan       ,Y,M,5,WARANA
Cat       ,Sylvester,DOMSH     ,DOMSH ,BlackWhite,Y,M,14,BARINGA
Cat       ,Tommy,DOMSH     ,DOMSH ,Black     ,Y,M,14,BARINGA
Cat       ,Scoobie,DOMSH     ,DOMSH ,White     ,Y,M,7,COES CREEK
D         ,Maisey,TERRIERSIX,TERRIE,TanWhite  ,Y,F,4,NAMBOUR
D         ,Toby,TERRIERSIX,TERRIE,Tan       ,Y,M,4,NAMBOUR
D         ,Toffee,RIDGEBACK ,RIDGEB,Brown     ,N,F,11,COOLUM BEACH
D         ,Dodger,STAFFRDBT ,STAFFR,WhiteTan  ,Y,M,3,NAMBOUR
D         ,PIP,STAFFRDAM ,STAFFR,TanWhite  ,Y,F,5,NAMBOUR
D         ,Bella,ROTTWEILR ,ROTTWE,BlackTan  ,Y,F,3,MAPLETON
Cat       ,Tom,RAGDOLL   ,RAGDOL,Cream     ,Y,M,5,FLAXTON
D         ,Texas,MASTIFF   ,MASTIF,TanWhite  ,Y,M,4,YANDINA
D         ,Freddie,FOXTERRMN ,FOXTER,Black     ,Y,M,3,BUDERIM
D         ,Benji,SHIHTZUX  ,SHIHTZ,White     ,Y,M,4,CURRIMUNDI
D         ,Millie,GERMNSHEP ,GERMNS,TriColour ,N,F,3,BURNSIDE
D         ,Chelsea,CHOWCHOW  ,CHOWCH,Red       ,Y,F,15,BUDERIM
D         ,Nala,CHOWCHOW  ,CHOWCH,Red       ,Y,F,6,BUDERIM
D         ,Kara,ROTTWEILRX,ROTTWE,Tan       ,Y,F,10,CONONDALE
D         ,Chloe,MALTESE   ,MALTES,Black     ,Y,F,8,SIPPY DOWNS
D         ,Frankie,KELPIEAUS ,KELPIE,Black     ,Y,M,5,CALOUNDRA WEST
D         ,Bailey,KELPIEAUS ,KELPIE,Black     ,Y,M,4,CALOUNDRA WEST
Cat       ,Fergus,DOMSH     ,DOMSH ,Ginger    ,Y,M,3,MOFFAT BEACH
Cat       ,Tiger Lily,DOMSH     ,DOMSH ,Tortoise  ,Y,F,4,WURTULLA
D         ,Maple,SCHNAUZMN ,SCHNAU,SaltPepper,Y,F,3,YANDINA CREEK
Cat       ,Ema,DOMSH     ,DOMSH ,Grey      ,Y,F,6,MALENY
D         ,Jasper,LABRADORX ,LABRAD,Gold      ,Y,M,7,LITTLE MOUNTAIN
Cat       ,Mia,TABBY     ,TABBY ,Grey      ,Y,F,6,LITTLE MOUNTAIN
D         ,Alfred,CHIHUAHUA ,CHIHUA,Gold      ,Y,M,7,NAMBOUR
D         ,Nala,HUSKYX    ,HUSKY,SilverGrey,Y,F,7,CURRIMUNDI
D         ,Kimba,HUSKYX    ,HUSKY,SilverGrey,Y,F,7,CURRIMUNDI
D         ,Bailey,COLLBORDR ,COLLBO,Wheaten   ,Y,M,3,WURTULLA
D         ,Barney,COLLBORDR ,COLLBO,BlackWhite,Y,M,6,DIDDILLIBAH
Cat       ,Cheeky Boy,DOMSH     ,DOMSH ,Brown     ,Y,M,6,CURRIMUNDI
D         ,Chilli,STAFFRDBT ,STAFFR,Brindle   ,Y,F,5,MAPLETON
D         ,Shelby Kelly,MASTIFNEPX,MASTIF,Tan       ,Y,F,3,CURRIMUNDI
D         ,Rusty,STAFFRDBT ,STAFFR,White     ,Y,M,10,MARCOOLA
D         ,Archie,SPANIELKC ,SPANIE,Ruby      ,Y,M,4,BUDERIM
Cat       ,Smudge,DOMSH     ,DOMSH ,GreyWhite ,Y,F,3,BLI BLI
D         ,Floyd,COLLBORDR ,COLLBO,BlackWhite,Y,M,4,NAMBOUR
Cat       ,Nalah,DOMSH     ,DOMSH ,Tabby     ,Y,F,9,MAROOCHYDORE
D         ,Scamp,TERRIERSIX,TERRIE,Brown     ,Y,M,14,GOLDEN BEACH
D         ,Seraa,SPOODLE   ,SPOODL,Black     ,Y,M,3,BOKARINA
D         ,Jack,JACKRUSSLX,JACKRU,BlackWhite,Y,M,6,BRIDGES
D         ,Gypsy,JACKRUSSLX,JACKRU,BlackWhite,Y,F,6,BRIDGES
D         ,Tally,GERMNSHEP ,GERMNS,BlackGold ,Y,F,5,BUDERIM
D         ,Poppy,GROODLE   ,GROODL,Blonde    ,Y,F,6,MOUNTAIN CREEK
D         ,Rafa,TERRIERAU ,TERRIE,Red       ,Y,M,4,WURTULLA
D         ,Trigger,COLLBORDRX,COLLBO,BlackWhite,Y,M,5,ROSEMOUNT
D         ,Ziggy,MALTESEX  ,MALTES,TriColour ,Y,M,4,BUDERIM
D         ,Roxy,MASTIFFX  ,MASTIF,Brindle   ,Y,F,4,YAROOMBA
D         ,Bella,POODLETOY ,POODLE,Red       ,N,F,5,BUDERIM
D         ,Poppy,POODLETOY ,POODLE,Red       ,N,F,4,BUDERIM
D         ,Loki,POODLETOY ,POODLE,Apricot   ,Y,M,5,BUDERIM
